"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Dewan Kebudayaan Penampang, Penampang",0,0,0,1,"5.9160717",116.1073061,"Penampang","","Sabah"
"Dewan Kejora Bandar Penawar",0,0,0,1,"1.5568833",104.2285191,"Kota Tinggi","","Johor"
"Dewan Kejora Bandar Tenggara",0,0,0,1,"1.8749749",103.6124374,"Kulai","","Johor"
"Dewan Kejora, Pangkor",0,0,0,1,"4.2109129",100.5569043,"Manjung","","Perak"
"Dewan Kemas, Gopeng",0,0,0,1,"4.4870036",101.1514848,"Kampar","","Perak"
"Dewan Kemuning Utama, Seksyen 32, Shah Alam Selatan",0,0,0,1,"3.0064377",101.5204547,"Petaling","","Selangor"
"Dewan Kenangan MPSP(K)",0,0,0,1,"5.6437",100.4871,"Kuala Muda","","Kedah"
"Dewan Kenangan MPSP(K), Kuala Muda",0,0,0,1,"5.6437089",100.4849317,"Kuala Muda","","Kedah"
"Dewan Kenangan Tun Abdul Razak",0,0,0,1,"5.6743",100.9216,"Baling","","Kedah"
"Dewan Kerian Permai",0,0,0,1,"5.11764",100.48183,"Kerian","","Perak"
"Dewan Kesenian Islam Membakut",0,0,0,1,"5.4760026",115.7986504,"Bongawan","","Sabah"
"Dewan Kg Kubambangan Paitan",0,0,0,1,"6.3922017",117.3835047,"Beluran","","Sabah"
"Dewan Kompleks Belia Dan Sukan Teluk Kemang",0,0,0,1,"2.4498",101.8588,"Port Dickson","","Negeri Sembilan"
"Dewan Kompleks Darul Kifayah MAIWP",0,0,0,1,"5.28919",115.26465,"W.P. Labuan","","W.P. Labuan"
"Dewan Kompleks Penghulu Sungai Balang, Muar",0,0,0,1,"1.9074415","102.7390022","Batu Pahat","","Johor"
"Dewan Kompleks Rakan Muda",0,0,0,1,"2.7354823",102.2196179,"Kuala Pilah","","Negeri Sembilan"
"Dewan Kompleks Sukan Majlis Daerah",0,0,0,1,"1.04336",111.8536,"Lubok Antu","","Sarawak"
"Dewan Komuniti Kota Marudu",0,0,0,1,"6.4957238",116.7671397,"Kota Marudu","","Sabah"
"Dewan Komuniti Manggatal",0,0,0,1,"6.023448",116.1209131,"Kota Kinabalu","","Sabah"
"Dewan Komuniti Sadong Jaya",0,0,0,1,"1.51732",110.72632,"Asajaya","","Sarawak"
"Dewan Konvensyen Duyong",0,0,0,1,"5.3389613",103.1301809,"Kuala Terengganu","","Terengganu"
"Dewan Konvensyen Majlis Daerah Bera",0,0,0,1,"3.27279",102.45339,"Bera","","Pahang"
"Dewan Konvesyen Sultan Haji Ahmad Shah",0,0,0,1,"3.49064",103.39026,"Pekan","","Pahang"
"Dewan Kopeladar",0,0,0,1,"6.01475",102.20743,"Tumpat","","Kelantan"
"Dewan LPK, Kelab Sukan Dan Rekreasi Pelabuhan Klang",0,0,0,1,"2.99854","101.39380990000001","Klang","","Selangor"
"Dewan Maharani",0,0,0,1,"2.03725",102.57001,"Muar","","Johor"
"Dewan Mahsuri, Padang Serai, Kulim",0,0,0,1,"5.5077507",100.5413798,"Kulim","","Kedah"
"Dewan Majlis Bandaraya Seremban",0,0,0,1,"2.7052",101.9601,"Seremban","","Negeri Sembilan"
"Dewan Majlis Daerah Bachok",0,0,0,1,"6.05643",102.39934,"Bachok","","Kelantan"
"Dewan Majlis Daerah Jeli",0,0,0,1,"5.69693",101.84564,"Jeli","","Kelantan"
"Dewan Majlis Daerah Ketereh",0,0,0,1,"5.96041",102.25185,"Kota Bharu","","Kelantan"
"Dewan Majlis Daerah Pasir Puteh",0,0,0,1,"5.8368448",102.4022118,"Pasir Puteh","","Kelantan"
"Dewan Majlis Pembandaran Jasin Sri Umbai",0,0,0,1,"3.2308",103.3013,"Jasin","","Melaka"
"Dewan Majlis Perbandaran Bentong",0,0,0,1,"3.52019",101.91348,"Bentong","","Pahang"
"Dewan Majlis Perbandaran Jempol",0,0,0,1,"2.8976102",102.4002233,"Jempol","","Negeri Sembilan"
"Dewan Majlis Perbandaran Kuala Kangsar (MPKK), Sungai Siput",0,0,0,1,"4.8134826",101.0824299,"Kuala Kangsar","","Perak"
"Dewan Manik Urai",0,0,0,1,"5.38799",102.23372,"Kuala Krai","","Kelantan"
"Dewan Masyarakat Bekenu",0,0,0,1,"4.0585895",113.8441897,"Miri","","Sarawak"
"Dewan Masyarakat Belawai",0,0,0,1,"2.23059",111.21591,"Tanjung Manis","","Sarawak"
"Dewan Masyarakat Beluru",0,0,0,1,"3.9760403",114.0981205,"Miri","","Sarawak"
"Dewan Masyarakat Daro",0,0,0,1,"2.51408",111.42906,"Daro","","Sarawak"
"Dewan Masyarakat Gedong / Perpustakaan Desa Gedong",0,0,0,1,"1.240536",110.692067,"Simunjan","","Sarawak"
"Dewan Masyarakat Julau",0,0,0,1,"2.01851",111.91336,"Julau","","Sarawak"
"Dewan Masyarakat Kalok, Pusa",0,0,0,1,"1.62073",111.32355,"Betong","","Sarawak"
"Dewan Masyarakat Keningau",0,0,0,1,"5.3713247",116.143417,"Keningau","","Sabah"
"Dewan Masyarakat Kpg Long Tuma",0,0,0,1,"4.80295",115.40893,"Lawas","","Sarawak"
"Dewan Masyarakat Kpg Sualai",0,0,0,1,"4.8757872",115.3535874,"Lawas","","Sarawak"
"Dewan Masyarakat Marudi",0,0,0,1,"3.764",114.40678,"Marudi","","Sarawak"
"Dewan Masyarakat Medamit",0,0,0,1,"4.4692003",114.9032562,"Limbang","","Sarawak"
"Dewan Masyarakat Meradong",0,0,0,1,"2.16648",111.63654,"Sarikei","","Sarawak"
"Dewan Masyarakat Pakan",0,0,0,1,"2.16648",111.63654,"Pakan","","Sarawak"
"Dewan Masyarakat Papar, Papar",0,0,0,1,"5.7312049",115.9321127,"Papar","","Sabah"
"Dewan Masyarakat Pekan Bongawan",0,0,0,1,"5.5407533",115.8529978,"Beluran","","Sabah"
"Dewan Masyarakat Pekan Ranau",0,0,0,1,"5.9508916",116.6617133,"Ranau","","Sabah"
"Dewan Masyarakat Sandakan",0,0,0,1,"5.8375",118.1119,"Sandakan","","Sabah"
"Dewan Masyarakat Semporna, Semporna",0,0,0,1,"4.4778793",118.6108205,"Semporna","","Sabah"
"Dewan Masyarakat Sepupok Niah",0,0,0,1,"3.80424",113.75171,"Miri","","Sarawak"
"Dewan Masyarakat Serian",0,0,0,1,"1.1656",110.5677,"Serian","","Sarawak"
"Dewan Masyarakat Siburan",0,0,0,1,"1.28896",110.40441,"Serian","","Sarawak"
"Dewan Masyarakat Sook",0,0,0,1,"5.1467296",116.3019641,"Keningau","","Sabah"
"Dewan Masyarakat Sri Kunak",0,0,0,1,"4.684741",118.2453851,"Kunak","","Sabah"
"Dewan Masyarakat Sundar",0,0,0,1,"4.89472",115.211603,"Lawas","","Sarawak"
"Dewan Masyarakat Sungai Asap",0,0,0,1,"3.03199",113.92273,"Belaga","","Sarawak"
"Dewan Masyarakat Tawau",0,0,0,1,"4.2462",117.8841,"Tawau","","Sabah"
"Dewan Masyarakat Tawau, Tawau",0,0,0,1,"4.2461775",117.881925,"Tawau","","Sabah"
"Dewan Masyarakat Tebedu",0,0,0,1,"1.01557",110.35524,"Serian","","Sarawak"
"Dewan Masyarakat Trusan",0,0,0,1,"4.7855739",115.2737545,"Lawas","","Sarawak"
"Dewan MBMB Taman Bertam Jaya",0,0,0,1,"2.27879",102.21457,"Melaka Tengah","","Melaka"
"Dewan MDB Kupang, Baling",0,0,0,1,"5.6758612",100.913944,"Baling","","Kedah"
"Dewan MDHT Kuala Berang",0,0,0,1,"5.0721",103.00892,"Hulu Terengganu","","Terengganu"
"Dewan Meranti 2, Seksyen U20 Bandar Baru Sg. Buloh, Shah Alam Utara",0,0,0,1,"","","Petaling","","Selangor"
"Dewan Merdeka Lenggong",0,0,0,1,"5.108257",100.9656027,"Hulu Perak","","Perak"
"Dewan Merdeka Tapah",0,0,0,1,"4.1976",101.25646,"Batang Padang","","Perak"
"Dewan Mesra Simunjan",0,0,0,1,"1.396017",110.7485703,"Simunjan","","Sarawak"
"Dewan Milenium Kepala Batas",0,0,0,1,"5.5156",100.4382,"Seberang Perai Utara","","Pulau Pinang"
"Dewan Millenium Lubok Merbau",0,0,0,1,"4.78544",100.89805,"Kuala Kangsar","","Perak"
"Dewan Mini Putrajaya Sabah",0,0,0,1,"6.0290243",116.1169203,"Kota Kinabalu","","Sabah"
"Dewan Mini Tambunan",0,0,0,1,"5.6690037",116.3627984,"Tambunan","","Sabah"
"Dewan MMU",0,0,0,1,"2.2505609",102.2745017,"Melaka Tengah","","Melaka"
"Dewan MPHTJ Bukit Beruang",0,0,0,1,"2.2431938",102.2701537,"Melaka Tengah","","Melaka"
"Dewan MPJ Alamanda Jasin",0,0,0,1,"2.3161",102.4328,"Jasin","","Melaka"
"Dewan MPJ Hj. Ahmad Ithnin Merlimau",0,0,0,1,"2.18123",102.4266,"Jasin","","Melaka"
"Dewan MPSJ, Puchong Indah",0,0,0,1,"3.0125816",101.6036124,"Petaling","","Selangor"
